# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,721678730,0.7876,-0.5005,-0.0737,98.35,11.28,-24.88
1,721683730,0.7266,-0.4883,-0.0630,92.80,10.85,-24.39
2,721688732,0.7271,-0.4819,-0.0391,85.98,10.18,-23.66
3,721693887,0.7290,-0.4561,0.0083,78.41,9.39,-23.23
4,721698733,0.7368,-0.4966,-0.0674,70.85,8.17,-22.80
5,721703732,0.7300,-0.4844,-0.0073,62.87,6.65,-22.20
6,721708786,0.7202,-0.4683,-0.0269,55.37,5.06,-21.83
7,721713848,0.7236,-0.4785,-0.0283,48.11,3.17,-21.04
8,721718730,0.7002,-0.4434,-0.0068,40.24,1.16,-19.88
9,721723730,0.6934,-0.4194,0.0000,32.01,-0.37,-18.84
10,721729040,0.7158,-0.4131,-0.0156,21.59,-1.89,-17.32
11,721733734,0.7231,-0.4165,-0.0278,14.57,-2.93,-16.59
12,721738992,0.7256,-0.4043,-0.0303,3.96,-3.96,-15.24
13,721743733,0.7314,-0.4106,-0.0366,-2.93,-4.70,-14.39
14,721748747,0.7334,-0.3970,-0.0303,-11.04,-5.18,-13.23
15,721753733,0.7285,-0.3926,-0.0239,-18.48,-5.85,-12.26
16,721758770,0.7295,-0.3813,-0.0415,-25.30,-6.16,-11.10
17,721763732,0.7212,-0.3735,-0.0610,-31.28,-6.83,-9.82
18,721768730,0.7607,-0.3633,-0.0684,-36.40,-7.38,-8.60
19,721773731,0.7363,-0.3413,-0.0630,-40.61,-8.05,-7.44
20,721778733,0.6968,-0.3442,-0.0737,-43.84,-8.48,-6.52
21,721783732,0.6978,-0.3545,-0.0962,-45.98,-8.90,-5.61
22,721788732,0.6777,-0.3560,-0.1147,-47.56,-9.57,-4.57
23,721793730,0.6626,-0.3516,-0.1372,-48.23,-10.12,-3.29
24,721798732,0.6533,-0.3447,-0.1533,-48.11,-10.55,-1.95
25,721803732,0.6577,-0.3252,-0.1934,-47.56,-10.43,-0.49
26,721808732,0.6636,-0.3188,-0.2090,-46.28,-10.12,1.04
27,721813732,0.6802,-0.3223,-0.2246,-44.70,-9.51,2.32
28,721818731,0.6968,-0.3335,-0.2549,-42.93,-8.35,3.78
29,721823731,0.7002,-0.3286,-0.2803,-40.98,-7.20,5.30
30,721828732,0.7163,-0.3291,-0.3101,-39.02,-5.85,6.65
31,721833731,0.7314,-0.3433,-0.3374,-36.89,-3.90,8.60
32,721838737,0.7373,-0.3506,-0.3438,-35.30,-2.20,10.24
33,721843733,0.7534,-0.3638,-0.3467,-33.54,-0.24,11.89
34,721848993,0.7651,-0.3828,-0.3457,-31.83,2.07,13.72
35,721853733,0.7837,-0.3911,-0.3384,-29.88,4.45,15.67
36,721858882,0.7949,-0.3979,-0.3452,-27.74,7.01,17.68
37,721863733,0.7949,-0.3979,-0.3604,-25.43,9.27,19.51
38,721868730,0.7983,-0.3975,-0.3394,-22.99,11.59,21.28
39,721873731,0.7949,-0.3892,-0.3262,-20.00,13.60,22.99
40,721878733,0.7905,-0.3823,-0.3140,-16.46,15.91,24.33
41,721883731,0.7881,-0.3984,-0.3086,-12.62,18.35,25.30
42,721889212,0.7959,-0.4160,-0.2959,-8.48,20.49,26.40
43,721893733,0.7886,-0.4302,-0.2852,-4.21,22.93,27.50
44,721899110,0.7778,-0.4414,-0.2837,-0.12,25.06,28.66
45,721903733,0.7866,-0.4497,-0.2798,3.96,27.13,29.70
46,721908730,0.7832,-0.4565,-0.2798,7.50,29.02,30.61
47,721913731,0.7734,-0.4702,-0.2847,10.49,31.04,31.40
48,721918733,0.7642,-0.4863,-0.2822,13.11,32.87,32.32
49,721923730,0.7715,-0.4956,-0.2617,15.12,34.82,32.93
50,721928735,0.7842,-0.5117,-0.2344,16.77,36.59,33.35
51,721933733,0.8022,-0.5142,-0.2202,18.05,38.23,33.72
52,721938794,0.7944,-0.5308,-0.1987,19.15,39.76,34.21
53,721943733,0.7949,-0.5386,-0.1763,20.12,40.91,34.51
54,721948843,0.7817,-0.5483,-0.1675,20.91,41.71,34.63
55,721953733,0.7710,-0.5557,-0.1523,22.01,42.26,34.70
56,721958960,0.7686,-0.5664,-0.1431,22.93,42.44,34.76
57,721963733,0.7534,-0.5796,-0.1274,23.90,41.95,34.82
58,721968730,0.7441,-0.5869,-0.1123,24.94,41.40,34.76
59,721973732,0.7427,-0.5962,-0.1030,25.79,40.61,34.51
60,721978733,0.7324,-0.6050,-0.1001,26.34,39.57,34.21
61,721983732,0.7295,-0.6143,-0.0938,26.52,38.48,33.78
62,721989172,0.7173,-0.6226,-0.0898,26.04,37.13,33.17
63,721993733,0.7168,-0.6333,-0.0972,25.00,35.67,32.44
64,721998730,0.6924,-0.6445,-0.1074,23.41,34.33,31.65
65,722003731,0.6748,-0.6494,-0.1064,21.16,32.87,30.91
66,722008733,0.6694,-0.6558,-0.1025,18.17,31.65,30.12
67,722013732,0.6812,-0.6597,-0.0991,14.82,30.61,29.39
68,722018732,0.6875,-0.6704,-0.0947,11.16,29.63,28.60
69,722023734,0.6899,-0.6714,-0.0815,7.20,29.02,27.80
70,722028731,0.7002,-0.6748,-0.0723,3.66,28.23,27.20
71,722033730,0.6943,-0.6821,-0.0679,0.43,27.68,26.40
72,722038730,0.6895,-0.6865,-0.0649,-2.01,27.07,25.67
73,722043735,0.6909,-0.6978,-0.0625,-3.66,26.40,24.82
74,722048732,0.6880,-0.7061,-0.0649,-4.70,25.61,23.96
75,722053732,0.6802,-0.7104,-0.0713,-5.12,24.94,23.17
76,722058730,0.6821,-0.7163,-0.0806,-5.24,24.33,22.44
77,722063732,0.6812,-0.7271,-0.0923,-5.24,23.90,21.95
78,722068733,0.6758,-0.7305,-0.1118,-4.94,23.60,21.34
79,722073732,0.6797,-0.7305,-0.1396,-4.63,23.35,20.91
80,722078812,0.6738,-0.7271,-0.1592,-4.45,23.11,20.43
81,722083732,0.6772,-0.7163,-0.1772,-4.33,23.05,19.76
82,722088783,0.6782,-0.7075,-0.1831,-4.82,23.17,19.02
83,722093731,0.6899,-0.7095,-0.1836,-5.43,23.41,18.17
84,722098733,0.6855,-0.6982,-0.1724,-6.22,23.66,17.26
85,722103731,0.6992,-0.6978,-0.1567,-7.20,24.39,16.46
86,722108733,0.7065,-0.6934,-0.1372,-8.17,25.61,15.49
87,722113732,0.7051,-0.6890,-0.1294,-9.09,26.71,14.70
88,722119107,0.7109,-0.6846,-0.1206,-9.82,28.11,13.84
89,722123733,0.7065,-0.6763,-0.1177,-10.43,29.51,13.29
90,722128730,0.7163,-0.6802,-0.0991,-10.61,30.73,12.62
91,722133731,0.7080,-0.6753,-0.0928,-10.55,32.26,12.07
92,722138811,0.7070,-0.6670,-0.0903,-10.06,33.66,11.65
93,722143730,0.7158,-0.6592,-0.0767,-9.27,34.94,11.16
94,722148731,0.7314,-0.6567,-0.0645,-8.66,36.59,10.67
95,722153733,0.7422,-0.6499,-0.0625,-8.11,37.74,10.18
96,722158730,0.7456,-0.6421,-0.0527,-7.50,39.15,9.88
97,722163731,0.7539,-0.6426,-0.0479,-7.01,40.18,9.39
98,722168925,0.7534,-0.6416,-0.0483,-6.77,41.40,9.02
99,722173730,0.7510,-0.6362,-0.0503,-6.83,42.50,8.84
100,722178730,0.7578,-0.6465,-0.0474,-6.77,43.29,8.72
101,722183732,0.7583,-0.6611,-0.0469,-7.07,44.09,8.66
102,722188732,0.7568,-0.6758,-0.0493,-7.56,44.57,8.54
103,722193731,0.7554,-0.6948,-0.0605,-8.11,45.06,8.48
104,722198736,0.7578,-0.7231,-0.0830,-9.02,45.37,8.41
105,722203732,0.7437,-0.7554,-0.1152,-10.24,45.30,8.11
106,722208732,0.7358,-0.7974,-0.1426,-11.71,45.06,7.99
107,722213730,0.7427,-0.8428,-0.1719,-13.90,44.63,7.62
108,722219133,0.7529,-0.8789,-0.2129,-17.26,44.63,6.77
109,722223733,0.7529,-0.9150,-0.2217,-20.00,44.57,5.67
110,722228730,0.7280,-0.9692,-0.2393,-23.96,44.88,4.02
111,722234263,0.6753,-1.0137,-0.2637,-29.21,45.73,1.65
112,722238819,0.6348,-1.0312,-0.2725,-32.62,46.34,-0.43
113,722243730,0.5781,-1.0854,-0.2822,-36.34,47.26,-3.23
114,722248730,0.5449,-1.1162,-0.2856,-39.33,48.35,-6.34
115,722253732,0.5283,-1.1387,-0.2720,-41.10,49.94,-9.51
116,722259038,0.5601,-1.2090,-0.2300,-39.88,52.32,-12.80
117,722263733,0.5557,-1.2412,-0.2549,-35.06,54.02,-14.76
118,722268731,0.4956,-1.1592,-0.2397,-23.96,56.46,-17.26
119,722273859,0.5034,-1.1509,-0.2114,-8.96,58.90,-20.06
120,722278731,0.5176,-1.1982,-0.2007,8.29,61.10,-22.13
121,722283733,0.4688,-1.2056,-0.1748,26.59,63.66,-23.66
122,722289229,0.4282,-1.3115,-0.1860,49.21,66.40,-25.12
123,722293733,0.3687,-1.3120,-0.2061,62.68,68.17,-25.43
124,722298734,0.3770,-1.3267,-0.1582,77.99,70.37,-26.40
125,722303733,0.4961,-1.3960,-0.1323,92.26,72.01,-27.32
126,722308730,0.5771,-1.3540,-0.1387,104.33,73.48,-28.35
127,722313732,0.6069,-1.3950,-0.1362,114.33,74.63,-30.37
128,722318803,0.5464,-1.4307,-0.1201,121.22,75.85,-32.20
129,722323730,0.5264,-1.4287,-0.1143,124.51,77.38,-34.33
130,722328730,0.5112,-1.4297,-0.0781,123.84,78.96,-36.89
131,722333730,0.5693,-1.4502,-0.0376,119.33,80.79,-39.88
132,722338730,0.6406,-1.4468,-0.0034,110.79,82.13,-43.60
133,722343735,0.6670,-1.4067,0.0054,99.27,83.23,-47.56
