# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,965078796,0.8887,-0.4468,0.0366,6.59,-10.06,9.33
1,965083741,0.8794,-0.4438,0.0322,3.72,-9.57,8.35
2,965088731,0.8994,-0.4507,0.0303,2.01,-9.33,8.17
3,965093740,0.9131,-0.4482,0.0278,0.00,-8.90,7.80
4,965098730,0.9111,-0.4541,0.0215,-1.34,-8.78,7.56
5,965103731,0.8965,-0.4712,0.0337,-2.74,-8.48,7.32
6,965108743,0.8931,-0.4707,0.0415,-3.72,-8.23,7.07
7,965113730,0.8999,-0.4829,0.0386,-4.09,-8.23,6.59
8,965118734,0.8950,-0.4946,0.0352,-3.66,-7.93,6.28
9,965123732,0.8877,-0.5049,0.0312,-2.20,-7.87,5.79
10,965128730,0.8823,-0.5039,0.0327,-0.30,-7.74,5.30
11,965133730,0.8730,-0.5078,0.0288,2.20,-7.87,4.88
12,965138734,0.8730,-0.4971,0.0234,5.00,-7.80,4.33
13,965143730,0.8730,-0.4858,0.0288,7.68,-7.74,4.09
14,965148730,0.8745,-0.4648,0.0195,10.12,-7.62,3.84
15,965153732,0.8901,-0.4438,0.0112,12.32,-7.74,3.66
16,965158734,0.8892,-0.4316,0.0142,13.72,-7.56,3.84
17,965163731,0.9023,-0.4248,0.0083,14.15,-7.01,4.02
18,965168807,0.9312,-0.4189,0.0083,14.15,-6.65,4.51
19,965173730,0.9224,-0.4199,0.0073,12.87,-6.34,4.70
20,965178730,0.9067,-0.4243,0.0078,10.37,-5.79,4.82
21,965183734,0.8843,-0.4302,0.0259,6.77,-5.37,4.57
22,965188733,0.8647,-0.4365,0.0361,2.56,-4.57,4.09
23,965193730,0.8604,-0.4355,0.0396,-2.38,-3.60,3.35
24,965198737,0.8574,-0.4316,0.0376,-5.24,-2.68,2.93
25,965203792,0.8628,-0.4185,0.0420,-7.93,-1.83,2.44
26,965208732,0.8516,-0.4102,0.0469,-9.45,-0.91,1.95
27,965214089,0.8232,-0.4014,0.0479,-9.70,0.06,1.77
28,965218732,0.8169,-0.3877,0.0562,-9.09,0.85,1.83
29,965223805,0.7988,-0.3540,0.0586,-6.65,2.13,2.07
30,965228732,0.7847,-0.3276,0.0537,-3.23,3.05,2.62
31,965233730,0.7861,-0.2998,0.0498,0.24,4.02,3.23
32,965238734,0.7832,-0.2686,0.0430,6.10,4.94,4.63
33,965243730,0.7808,-0.2422,0.0479,10.85,5.79,6.04
34,965248734,0.7729,-0.2236,0.0498,15.30,6.28,7.74
35,965253730,0.7642,-0.2021,0.0444,19.15,6.65,9.57
36,965258731,0.7368,-0.1890,0.0474,22.07,7.01,11.28
37,965263733,0.7427,-0.1958,0.0522,24.33,7.13,13.17
38,965268733,0.7646,-0.2090,0.0674,25.73,7.32,15.06
39,965273926,0.7646,-0.2207,0.0757,26.40,7.44,16.95
40,965278734,0.7490,-0.2349,0.0859,26.83,7.20,18.66
41,965283730,0.7524,-0.2432,0.0962,26.83,7.32,20.30
42,965288732,0.7637,-0.2515,0.1045,27.26,7.20,21.89
43,965293996,0.7788,-0.2627,0.1133,27.87,7.20,23.35
44,965298734,0.8169,-0.2954,0.1152,28.84,7.01,25.00
45,965303758,0.8931,-0.3374,0.1001,30.12,6.77,27.01
46,965308732,0.9463,-0.4077,0.1069,31.52,6.22,28.72
47,965313730,0.9595,-0.4946,0.1108,32.13,5.37,29.82
48,965318732,0.9785,-0.5806,0.1250,31.46,4.21,30.00
49,965323731,0.9790,-0.6821,0.1260,29.57,3.05,28.84
50,965328734,0.9551,-0.7783,0.1367,25.98,1.52,26.34
51,965333730,0.9536,-0.8682,0.1450,20.91,0.24,22.93
52,965338732,0.9810,-0.9429,0.1470,14.76,-1.34,18.60
53,965343730,1.0210,-0.9961,0.1392,8.41,-2.68,13.60
54,965348734,1.0483,-1.0400,0.1357,2.38,-4.45,8.17
55,965353736,1.0596,-1.0688,0.1265,-2.80,-6.10,2.50
56,965358734,1.0742,-1.0693,0.1187,-7.32,-8.11,-3.41
57,965363730,1.0786,-1.0640,0.1138,-11.28,-9.63,-9.21
58,965368731,1.0889,-1.0425,0.1030,-14.45,-11.28,-14.82
59,965373732,1.1045,-1.0034,0.0845,-17.13,-12.68,-20.06
60,965378734,1.1064,-0.9551,0.0693,-19.27,-13.90,-24.94
61,965383730,1.1143,-0.9038,0.0679,-20.98,-15.06,-29.02
62,965388732,1.1255,-0.8428,0.0522,-22.26,-16.04,-32.56
63,965393730,1.1367,-0.7793,0.0371,-22.93,-16.95,-35.30
64,965398731,1.1387,-0.7173,0.0337,-23.17,-17.93,-37.38
65,965403732,1.1465,-0.6616,0.0215,-22.74,-18.66,-38.66
66,965408730,1.1577,-0.6133,0.0156,-22.01,-19.15,-39.51
67,965413732,1.1504,-0.5630,0.0088,-20.98,-19.63,-39.63
68,965418730,1.1304,-0.5278,0.0005,-20.00,-20.06,-39.45
69,965424202,1.1006,-0.4868,-0.0059,-19.33,-20.55,-39.21
70,965428732,1.0630,-0.4492,-0.0127,-18.96,-20.61,-38.54
71,965433730,1.0615,-0.4106,-0.0137,-18.78,-20.79,-37.68
72,965438730,1.0596,-0.3760,-0.0288,-18.48,-20.73,-36.83
