# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
# dropped=0
0,1243550685,-0.9072,-0.5249,0.1880,-56.22,-32.38,-12.01
1,1243555689,-0.9028,-0.5215,0.1860,-53.17,-32.68,-12.44
2,1243560685,-0.8975,-0.5190,0.1802,-50.00,-32.68,-12.50
3,1243565685,-0.8765,-0.5112,0.1807,-46.65,-32.93,-12.99
4,1243570685,-0.8701,-0.5034,0.1748,-43.41,-33.17,-13.41
5,1243575688,-0.8682,-0.5029,0.1812,-40.18,-33.17,-13.72
6,1243580687,-0.8574,-0.4971,0.1772,-37.20,-33.35,-14.02
7,1243585685,-0.8638,-0.5015,0.1816,-34.27,-33.41,-14.45
8,1243590688,-0.8501,-0.4941,0.1753,-31.65,-33.54,-14.76
9,1243595685,-0.8462,-0.4941,0.1719,-29.02,-33.41,-15.18
10,1243600685,-0.8521,-0.4854,0.1626,-26.77,-33.41,-15.73
11,1243605685,-0.8428,-0.4844,0.1606,-24.57,-33.35,-16.10
12,1243610685,-0.8320,-0.4771,0.1665,-22.56,-33.29,-16.52
13,1243615685,-0.8291,-0.4707,0.1670,-20.61,-33.17,-16.95
14,1243620685,-0.8359,-0.4717,0.1646,-18.90,-33.23,-17.56
15,1243625685,-0.8438,-0.4736,0.1577,-17.01,-32.99,-18.05
16,1243630685,-0.8462,-0.4668,0.1582,-15.61,-32.80,-18.54
17,1243635689,-0.8418,-0.4678,0.1626,-14.09,-32.68,-18.96
18,1243640825,-0.8486,-0.4668,0.1543,-12.87,-32.56,-19.33
19,1243645685,-0.8574,-0.4697,0.1475,-11.59,-32.32,-19.70
20,1243650688,-0.8706,-0.4692,0.1528,-10.49,-32.07,-20.00
21,1243655685,-0.8652,-0.4624,0.1519,-9.70,-31.95,-20.37
22,1243660689,-0.8623,-0.4541,0.1445,-8.96,-31.71,-20.55
23,1243665685,-0.8691,-0.4619,0.1470,-8.48,-31.46,-20.85
24,1243670686,-0.8823,-0.4653,0.1538,-8.05,-31.28,-21.04
25,1243675689,-0.8779,-0.4595,0.1484,-7.93,-30.73,-21.28
26,1243680685,-0.8809,-0.4551,0.1514,-7.93,-30.30,-21.40
27,1243685685,-0.8760,-0.4575,0.1533,-8.29,-29.82,-21.46
28,1243690688,-0.8838,-0.4580,0.1538,-8.66,-29.21,-21.65
29,1243695685,-0.8853,-0.4575,0.1528,-9.15,-28.60,-21.59
30,1243700685,-0.8970,-0.4561,0.1597,-9.70,-27.93,-21.59
31,1243705686,-0.8970,-0.4521,0.1631,-10.43,-27.13,-21.46
32,1243710687,-0.8896,-0.4541,0.1582,-10.98,-26.34,-21.28
33,1243715685,-0.8818,-0.4478,0.1602,-11.71,-25.49,-21.28
34,1243720689,-0.8892,-0.4521,0.1606,-12.20,-24.51,-21.04
35,1243725686,-0.8926,-0.4512,0.1670,-12.68,-23.54,-20.73
36,1243730687,-0.8838,-0.4487,0.1641,-13.05,-22.62,-20.43
