# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,1311655685,0.0371,-0.1318,-1.0591,-67.80,-40.37,-16.16
1,1311660685,-0.0005,-0.1265,-1.1499,-62.01,-36.89,-17.87
2,1311665687,-0.0649,-0.1260,-1.2090,-55.37,-32.50,-18.90
3,1311670686,-0.0479,-0.1123,-1.2920,-47.56,-27.74,-19.45
4,1311675685,0.0371,-0.0840,-1.3779,-38.17,-22.26,-19.51
5,1311680685,0.0542,-0.0542,-1.4292,-27.87,-16.52,-19.02
6,1311685686,0.0234,-0.0298,-1.4766,-16.59,-10.67,-17.99
7,1311690685,-0.0078,0.0078,-1.5562,-5.24,-4.27,-16.52
8,1311695685,-0.0532,0.0269,-1.6025,5.30,2.13,-14.51
9,1311700685,-0.0640,0.0513,-1.6440,13.78,8.29,-11.83
10,1311705689,-0.1211,0.0566,-1.6919,20.06,14.27,-8.66
11,1311710716,-0.1138,0.0718,-1.7275,23.72,20.24,-5.00
12,1311715685,-0.1289,0.0854,-1.7456,25.00,25.55,-1.10
13,1311720685,-0.1450,0.0962,-1.7764,24.63,31.10,2.68
14,1311725687,-0.1787,0.1118,-1.7900,23.48,36.34,6.40
15,1311730685,-0.1860,0.1226,-1.7979,21.65,41.10,9.88
16,1311735685,-0.2051,0.1265,-1.8179,19.70,45.24,13.11
17,1311740685,-0.2261,0.1318,-1.8228,18.23,49.39,15.91
18,1311745685,-0.2393,0.1528,-1.7905,17.74,53.35,18.23
19,1311750685,-0.2329,0.1577,-1.7651,19.09,57.07,20.24
20,1311755685,-0.1890,0.1841,-1.7266,22.50,60.79,21.83
21,1311760685,-0.1558,0.2178,-1.6650,27.80,64.15,22.68
22,1311765685,-0.1499,0.2417,-1.5981,34.57,67.07,23.17
23,1311770686,-0.1260,0.2671,-1.5278,41.52,69.94,23.41
24,1311775685,-0.1030,0.2725,-1.4375,47.74,72.32,23.60
25,1311780685,-0.0488,0.2905,-1.3472,51.95,74.02,23.84
26,1311785685,-0.0176,0.3096,-1.2715,54.63,75.37,24.27
27,1311790685,-0.0142,0.3369,-1.1841,55.67,75.91,24.76
28,1311795685,-0.0386,0.3511,-1.0986,55.18,75.43,25.30
29,1311800685,-0.0176,0.3623,-1.0366,53.41,74.02,25.91
30,1311805685,-0.0024,0.3726,-0.9673,49.82,71.77,26.71
31,1311810689,-0.0107,0.3706,-0.8945,45.00,68.23,27.68
32,1311815685,-0.0215,0.3633,-0.8330,38.96,63.90,28.72
33,1311820685,-0.0005,0.3633,-0.7617,31.89,59.02,29.94
34,1311825685,0.0195,0.3662,-0.6846,24.45,53.96,31.10
35,1311830688,0.0225,0.3687,-0.6079,16.77,48.66,32.20
36,1311835687,-0.0186,0.3467,-0.5493,9.15,43.23,33.05
37,1311840685,-0.0137,0.3335,-0.4873,1.95,37.68,33.84
38,1311845688,-0.0054,0.3154,-0.4209,-4.33,32.13,34.39
39,1311850687,0.0840,-0.0986,11.8730,12.50,-11.89,31.71
40,1311855686,-1.1309,0.4443,3.0737,60.18,-97.62,30.79
41,1311860685,-1.1245,0.0493,-1.6152,60.67,-102.80,30.37
42,1311865686,-0.0405,-0.1055,-0.7861,50.79,-108.96,30.24
43,1311870688,0.4116,0.1797,0.6753,37.68,-105.85,30.12
44,1311875689,0.0898,0.2734,0.1519,26.34,-106.59,27.68
45,1311880685,-0.1548,0.1714,-0.9331,22.99,-110.30,24.39
46,1311885688,-0.1982,0.2183,-0.0698,20.43,-110.06,19.70
47,1311890686,-0.1069,0.1768,-0.1064,16.77,-106.52,15.24
48,1311895685,0.0342,0.0693,-0.6758,10.67,-107.26,11.40
49,1311900685,0.0576,0.0591,-0.5010,2.44,-107.80,7.93
50,1311905769,0.0078,0.1113,-0.2808,-6.22,-104.70,4.27
51,1311910685,-0.1021,0.0933,-0.5098,-14.09,-101.89,0.61
52,1311915685,-0.1348,0.0776,-0.6240,-20.91,-99.21,-2.99
53,1311920689,-0.1274,0.0972,-0.5405,-28.54,-94.63,-7.07
54,1311925685,-0.0889,0.1084,-0.5132,-35.06,-90.79,-10.12
55,1311930685,-0.1221,0.0889,-0.6270,-40.37,-88.23,-12.26
56,1311935690,-0.1455,0.0952,-0.6309,-48.35,-84.15,-14.76
57,1311940685,-0.1602,0.0962,-0.6323,-54.63,-81.40,-16.34
58,1311945685,-0.1348,0.0986,-0.7021,-60.37,-78.72,-17.44
59,1311950745,-0.1797,0.0806,-0.7637,-64.94,-76.46,-18.05
60,1311955687,-0.1904,0.0723,-0.8174,-68.23,-74.76,-18.48
61,1311960686,-0.1958,0.0630,-0.8970,-69.63,-72.26,-18.54
62,1311965685,-0.1875,0.0562,-0.9697,-69.33,-69.82,-18.29
63,1311970685,-0.2261,0.0479,-1.0640,-66.95,-67.38,-17.93
64,1311975685,-0.2285,0.0376,-1.1694,-62.62,-64.27,-17.50
65,1311980685,-0.2554,0.0312,-1.2417,-56.83,-60.55,-16.77
66,1311985690,-0.2710,0.0161,-1.3198,-49.45,-56.77,-15.85
67,1311990685,-0.2334,0.0278,-1.4219,-40.49,-52.13,-15.00
68,1311995687,-0.2739,0.0493,-1.4956,-30.37,-47.20,-14.02
69,1312000685,-0.3521,0.0527,-1.5469,-19.82,-42.62,-13.05
70,1312005685,-0.4648,0.0454,-1.6289,-10.12,-38.05,-11.83
71,1312010688,-0.5698,0.0376,-1.6973,-2.50,-33.90,-10.24
72,1312015685,-0.6543,0.0103,-1.7441,2.44,-30.98,-8.41
73,1312020685,-0.7329,-0.0127,-1.8130,4.51,-29.33,-6.10
74,1312025685,-0.8174,-0.0449,-1.8525,4.63,-28.35,-3.66
75,1312030689,-0.8257,-0.0562,-1.8486,3.90,-28.11,-1.46
76,1312035686,-0.7852,-0.0405,-1.8696,3.66,-28.23,-0.06
77,1312040685,-0.7305,-0.0068,-1.8818,5.00,-28.17,0.00
78,1312045688,-0.7671,0.0239,-1.8599,8.54,-27.62,-1.22
79,1312050685,-0.8115,0.0454,-1.8428,13.90,-26.52,-3.54
80,1312055689,-0.7856,0.0635,-1.8623,20.61,-24.94,-6.52
81,1312060685,-0.6968,0.0884,-1.8652,28.35,-22.68,-10.06
82,1312065685,-0.6650,0.1230,-1.8608,35.98,-19.88,-13.90
83,1312070685,-0.7808,0.1519,-1.8696,43.78,-16.04,-17.99
84,1312075685,-0.8555,0.1826,-1.8608,50.91,-11.40,-21.77
85,1312080685,-0.8340,0.1929,-1.8276,57.38,-6.71,-25.00
86,1312085685,-0.7632,0.2065,-1.8047,62.99,-2.07,-27.62
87,1312090685,-0.7153,0.2368,-1.7559,68.35,2.38,-29.51
88,1312095685,-0.7207,0.2876,-1.6553,73.72,6.46,-31.22
89,1312100685,-0.7212,0.3188,-1.5752,78.54,10.06,-32.44
90,1312105685,-0.6182,0.3472,-1.5010,82.32,13.72,-33.23
91,1312110685,-0.5371,0.3716,-1.3872,84.02,16.22,-33.29
92,1312115685,-0.4624,0.3979,-1.2910,83.78,17.93,-32.74
93,1312120685,-0.3765,0.4375,-1.2051,82.20,18.90,-31.65
94,1312125685,-0.3008,0.4458,-1.1147,78.90,19.15,-30.00
95,1312130685,-0.2036,0.4365,-1.0269,74.51,18.11,-27.44
96,1312135687,-0.0771,0.4316,-0.9702,69.27,16.52,-24.39
97,1312140686,0.0420,0.4395,-0.9082,63.96,14.27,-20.73
98,1312145685,0.1367,0.4434,-0.8428,59.02,11.59,-16.83
99,1312150687,0.2173,0.4209,-0.8135,54.57,8.48,-12.80
100,1312155685,0.4072,0.4180,-0.7939,50.12,5.24,-8.35
101,1312160685,0.5518,0.4043,-0.7729,45.18,2.01,-4.02
102,1312165685,0.5908,0.3906,-0.7642,39.63,-0.18,0.24
103,1312170685,0.5464,0.3799,-0.7612,33.78,-1.04,4.45
104,1312175685,0.5811,0.3726,-0.7461,27.62,-0.24,8.60
105,1312180685,1.8330,-0.2363,9.7378,32.32,-6.65,11.52
106,1312185689,-0.4683,0.0962,0.7471,133.60,-101.95,16.89
107,1312190687,-0.5581,-0.6274,-3.3804,124.51,-123.35,24.09
108,1312195686,0.3140,0.2988,1.2427,83.54,-101.34,28.41
109,1312200747,1.1294,0.7988,-0.3296,42.13,-81.46,29.94
110,1312205685,1.3018,0.2388,-2.4805,6.46,-78.66,28.35
111,1312210685,0.9053,0.1172,-1.0161,-23.35,-70.61,24.76
112,1312215685,0.4814,0.3032,-0.1411,-49.33,-54.51,20.12
113,1312220685,0.4790,0.2310,-0.9976,-73.96,-41.10,16.10
114,1312225685,0.7002,0.0903,-1.1143,-98.11,-31.65,13.60
115,1312230685,0.7354,0.1431,-0.5200,-120.18,-23.54,13.05
116,1312235685,0.5986,0.1748,-0.4590,-137.07,-16.40,13.41
117,1312240685,0.4609,0.1367,-0.6543,-146.52,-11.10,14.39
118,1312245687,0.3750,0.1221,-0.4351,-148.66,-7.38,15.85
119,1312250685,0.3516,0.1250,-0.2505,-144.63,-4.76,17.56
120,1312255685,0.3218,0.1060,-0.3203,-136.04,-3.23,19.63
121,1312260685,0.2588,0.0942,-0.2925,-124.09,-4.33,21.89
122,1312265685,0.1738,0.1001,-0.1543,-109.51,-6.89,23.78
123,1312270685,0.1001,0.1055,-0.1494,-92.62,-9.82,25.49
124,1312276170,0.0376,0.1104,-0.1157,-70.67,-15.12,26.71
125,1312280685,0.0298,0.1099,-0.1074,-55.61,-19.09,27.20
126,1312285685,0.0942,0.1167,-0.1406,-36.83,-24.63,26.95
127,1312290685,0.1738,0.1270,-0.1772,-18.41,-30.49,25.91
128,1312295685,0.1484,0.1235,-0.1777,-1.04,-36.65,24.15
129,1312300685,0.0791,0.1240,-0.2290,15.12,-41.52,22.26
130,1312305685,-0.0020,0.1011,-0.2686,28.78,-44.45,20.37
131,1312310685,-0.0615,0.0630,-0.2988,38.78,-46.71,19.09
132,1312315685,-0.1172,0.0078,-0.3784,44.51,-47.50,18.72
133,1312320685,-0.1748,-0.0435,-0.4458,46.04,-46.65,19.02
134,1312325685,-0.2266,-0.0669,-0.4639,44.63,-45.06,19.88
135,1312330685,-0.2749,-0.0796,-0.5161,41.40,-42.99,20.73
136,1312335685,-0.2725,-0.0776,-0.5732,37.32,-39.51,21.22
137,1312340685,-0.2583,-0.0806,-0.5762,33.17,-36.16,21.10
138,1312345685,-0.2661,-0.0669,-0.6021,29.02,-33.23,20.67
139,1312350685,-0.3047,-0.0767,-0.6416,25.12,-30.06,20.06
140,1312355685,-0.3706,-0.0752,-0.6289,21.22,-26.77,19.45
141,1312360685,-0.4238,-0.0806,-0.6182,17.20,-24.39,19.21
142,1312365685,-0.4648,-0.0752,-0.6602,13.66,-22.01,19.09
143,1312370685,-0.4648,-0.0698,-0.6958,10.67,-20.30,19.09
144,1312375685,-0.4341,-0.0649,-0.7100,8.29,-19.70,19.27
145,1312380685,-0.4497,-0.0718,-0.7666,6.04,-19.33,19.33
146,1312385685,-0.4751,-0.0825,-0.8247,4.33,-18.41,19.51
147,1312390685,-0.4678,-0.0996,-0.9229,1.83,-17.68,19.51
148,1312395685,-0.4390,-0.1328,-0.9951,-1.16,-16.04,19.63
149,1312400685,-0.4312,-0.1782,-1.0835,-5.18,-13.90,19.51
150,1312405685,-0.4321,-0.1855,-1.1904,-10.00,-10.43,19.09
151,1312410685,-0.4824,-0.2090,-1.2710,-15.00,-5.61,18.35
152,1312415685,-0.4663,-0.2007,-1.3354,-19.76,0.12,17.80
153,1312420685,-0.3643,-0.1807,-1.4292,-22.99,6.59,17.50
154,1312425685,-0.3042,-0.1748,-1.4795,-24.33,13.60,17.50
155,1312430685,-0.2505,-0.1499,-1.4980,-23.66,20.43,17.87
156,1312435685,-0.2104,-0.1157,-1.5474,-20.67,27.20,18.72
157,1312440685,-0.1992,-0.0889,-1.5771,-15.55,34.39,19.70
158,1312445685,-0.1899,-0.0664,-1.5669,-8.66,41.28,21.22
159,1312450685,-0.1782,-0.0400,-1.5845,-0.73,47.74,23.05
160,1312455685,-0.1177,-0.0142,-1.6299,7.32,53.84,25.18
161,1312460685,-0.0942,0.0068,-1.6323,14.33,59.88,27.50
162,1312465685,-0.1743,-0.0073,-1.6348,18.96,65.85,30.00
163,1312470685,-0.2593,-0.0322,-1.6685,20.79,71.83,32.99
164,1312475685,-0.2324,-0.0601,-1.6816,19.94,78.29,35.98
165,1312480685,-0.1948,-0.0928,-1.6685,17.20,82.68,38.78
166,1312485685,-0.2031,-0.1475,-1.6899,13.96,87.80,41.04
167,1312490685,-0.2471,-0.1694,-1.6943,11.71,93.35,42.38
168,1312495685,-0.3242,-0.1538,-1.6626,12.01,97.93,42.32
169,1312500685,-0.3608,-0.1494,-1.6665,16.22,102.44,41.10
170,1312505686,-0.2979,-0.1440,-1.6348,24.15,106.52,39.02
171,1312510685,-0.2451,-0.1382,-1.5737,34.76,109.21,36.59
172,1312515685,-0.2637,-0.1235,-1.5205,46.46,111.34,33.72
173,1312520685,-0.2568,-0.0884,-1.4727,58.48,113.05,30.55
174,1312525685,-0.2632,-0.0532,-1.3999,69.88,114.09,27.20
175,1312530685,-0.2622,-0.0112,-1.3374,79.82,113.96,23.90
176,1312535685,-0.2583,0.0264,-1.2529,86.95,113.29,20.73
