# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,933888734,0.7246,-0.7505,0.2417,-5.73,-15.00,3.17
1,933893736,0.7271,-0.7402,0.2339,-6.40,-15.12,3.60
2,933898730,0.7388,-0.7334,0.2324,-6.83,-15.37,4.02
3,933903730,0.7275,-0.7222,0.2192,-7.20,-15.37,4.51
4,933908730,0.7280,-0.7119,0.2202,-7.56,-15.55,5.00
5,933913733,0.7314,-0.7090,0.2173,-8.11,-15.79,5.55
6,933918784,0.7290,-0.7129,0.2163,-8.96,-15.73,6.04
7,933923734,0.7368,-0.7104,0.2109,-9.70,-15.79,6.46
8,933928730,0.7388,-0.7104,0.2017,-10.24,-15.79,6.71
9,933933730,0.7300,-0.7168,0.2012,-10.67,-15.79,7.01
10,933938782,0.7119,-0.7236,0.1904,-11.04,-15.61,7.26
11,933943730,0.7295,-0.7085,0.1929,-11.22,-15.67,7.50
12,933948733,0.7441,-0.6997,0.1909,-11.22,-15.73,7.50
13,933953732,0.7324,-0.7017,0.1787,-11.04,-15.67,7.62
14,933958733,0.7266,-0.7012,0.1787,-10.91,-15.49,7.80
15,933963840,0.7280,-0.6938,0.1748,-10.73,-15.37,7.80
16,933968730,0.7378,-0.6934,0.1792,-10.55,-15.30,7.74
17,933973730,0.7305,-0.6987,0.1763,-10.30,-15.37,7.74
18,933978730,0.7256,-0.6978,0.1680,-10.37,-15.12,7.68
19,933983733,0.7271,-0.6899,0.1641,-9.94,-14.88,7.62
20,933988732,0.7261,-0.6836,0.1694,-9.70,-14.70,7.44
21,933993730,0.7168,-0.6826,0.1577,-9.27,-14.57,7.32
22,933998732,0.7173,-0.6797,0.1582,-8.54,-14.09,7.13
23,934003733,0.7212,-0.6802,0.1548,-7.74,-13.84,7.13
24,934008732,0.7339,-0.6753,0.1484,-7.01,-13.54,7.01
25,934013730,0.7319,-0.6743,0.1372,-6.34,-13.35,6.95
26,934018733,0.7202,-0.6763,0.1372,-5.73,-13.11,6.77
27,934023732,0.7144,-0.6792,0.1372,-5.00,-12.68,6.65
28,934028730,0.7109,-0.6802,0.1411,-4.39,-12.44,6.46
29,934033755,0.7036,-0.6738,0.1431,-3.60,-12.01,6.28
30,934038732,0.7119,-0.6733,0.1401,-2.44,-11.65,6.04
31,934043730,0.7021,-0.6748,0.1382,-1.16,-11.22,5.91
32,934048730,0.7119,-0.6758,0.1299,0.06,-10.98,5.67
33,934053730,0.7090,-0.6816,0.1353,1.22,-10.55,5.30
34,934058730,0.7080,-0.6826,0.1260,2.07,-10.12,5.12
35,934063730,0.7021,-0.6831,0.1367,3.05,-9.82,4.94
36,934068730,0.7100,-0.6899,0.1353,3.84,-9.45,4.76
37,934073730,0.7090,-0.6924,0.1387,4.70,-9.27,4.63
38,934078730,0.7148,-0.6943,0.1450,5.18,-8.96,4.45
39,934083730,0.7192,-0.6948,0.1392,5.91,-8.78,4.39
40,934088730,0.7168,-0.6938,0.1494,6.46,-8.48,4.21
41,934093770,0.7124,-0.6821,0.1543,6.52,-8.35,4.09
42,934098730,0.7100,-0.6831,0.1641,6.46,-8.05,4.21
43,934103730,0.7070,-0.6841,0.1655,6.34,-7.93,4.09
44,934108730,0.7021,-0.6865,0.1694,5.91,-7.68,4.15
45,934113730,0.7124,-0.6953,0.1792,5.67,-7.74,4.21
46,934118730,0.7314,-0.7036,0.1802,5.30,-7.68,4.33
47,934123730,0.7344,-0.7080,0.1826,4.39,-7.56,4.63
48,934128730,0.7295,-0.7124,0.1870,3.60,-7.50,4.76
49,934133730,0.7129,-0.7153,0.1909,2.38,-7.68,5.00
50,934138730,0.6978,-0.7173,0.1982,0.98,-7.68,5.12
51,934143730,0.7080,-0.7178,0.1909,0.00,-7.74,5.06
52,934148730,0.6929,-0.7388,0.1914,-1.16,-8.05,4.94
53,934153730,0.6958,-0.7490,0.1919,-1.89,-8.05,4.76
54,934158730,0.7012,-0.7612,0.1919,-2.44,-8.11,4.57
55,934163730,0.7197,-0.7769,0.1836,-3.11,-8.17,4.33
56,934168730,0.7295,-0.7915,0.1802,-3.78,-8.41,4.02
57,934173732,0.7407,-0.7988,0.1831,-4.33,-8.48,3.96
58,934178730,0.7275,-0.8086,0.1816,-4.76,-8.66,3.66
59,934183730,0.7202,-0.8145,0.1851,-4.76,-8.60,3.41
60,934188730,0.7090,-0.8188,0.1802,-4.45,-8.78,3.17
61,934193730,0.7212,-0.8179,0.1665,-3.72,-8.60,2.99
62,934198732,0.7524,-0.8364,0.1641,-2.68,-8.60,2.80
63,934203730,0.7749,-0.8633,0.1484,-1.59,-8.48,2.80
64,934208730,0.8145,-0.8740,0.1357,-0.61,-8.29,2.93
65,934213736,0.7808,-0.8740,0.1304,0.55,-8.17,2.80
66,934218730,0.7207,-0.8774,0.1255,1.83,-7.99,2.62
67,934223765,0.7095,-0.8711,0.1216,2.80,-7.56,1.77
68,934228744,0.6958,-0.8735,0.1035,3.54,-6.83,1.04
69,934233730,0.6221,-0.8589,0.0991,4.39,-5.98,-0.06
70,934238731,0.6201,-0.8657,0.0669,5.12,-4.82,-1.34
71,934243730,0.6245,-0.8433,0.0503,5.91,-4.02,-2.56
72,934248730,0.6182,-0.8179,0.0537,6.52,-2.99,-4.09
73,934253730,0.6450,-0.7983,0.0518,7.07,-2.13,-5.37
74,934258730,0.6523,-0.7998,0.0430,7.26,-1.40,-6.65
75,934263730,0.6621,-0.8174,0.0537,6.71,-0.24,-8.11
76,934268730,0.6577,-0.8037,0.0527,5.85,0.43,-9.15
77,934273730,0.6597,-0.7705,0.0439,4.70,1.16,-10.30
78,934278730,0.6523,-0.7979,0.0464,3.17,1.89,-11.83
79,934283730,0.6338,-0.8081,0.0537,1.34,2.44,-13.41
80,934288730,0.6318,-0.8149,0.0518,-1.10,3.17,-15.12
