# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,1196978895,-1.5410,-0.3423,0.3037,-10.30,-356.77,-7.32
1,1196983897,-1.4614,-0.3057,0.3491,-19.57,-351.77,-5.37
2,1196988896,-1.4180,-0.2402,0.4731,-30.49,-345.79,-3.90
3,1196993898,-1.3174,-0.1519,0.4624,-43.05,-338.84,-3.66
4,1196998895,-1.2949,-0.1348,0.3940,-55.67,-332.26,-4.39
5,1197003895,-1.3018,-0.1509,0.3203,-68.90,-326.46,-5.37
6,1197008895,-1.2808,-0.1895,0.3618,-82.68,-320.79,-6.34
7,1197013895,-1.2466,-0.1919,0.3936,-96.71,-315.00,-7.38
8,1197018901,-1.2017,-0.1582,0.3691,-111.52,-308.78,-8.60
9,1197023895,-1.1421,-0.1079,0.3794,-126.77,-302.20,-10.61
10,1197028895,-1.1011,-0.0654,0.4258,-142.32,-295.12,-13.05
11,1197033897,-1.0825,-0.0537,0.4028,-157.26,-288.05,-16.16
12,1197038895,-1.0645,-0.0586,0.3496,-171.34,-281.28,-19.51
13,1197043897,-1.0107,-0.0688,0.3384,-183.48,-275.00,-22.74
14,1197048900,-0.9360,-0.0767,0.3560,-192.87,-268.90,-25.98
15,1197053895,-0.8691,-0.0859,0.3228,-199.45,-263.05,-28.84
16,1197058895,-0.8135,-0.0986,0.2808,-203.23,-257.93,-31.52
17,1197063895,-0.7710,-0.1030,0.2617,-204.88,-253.17,-33.96
18,1197068897,-0.7378,-0.1133,0.2612,-204.70,-248.72,-35.85
19,1197073896,-0.7124,-0.1304,0.2412,-203.23,-244.45,-37.74
20,1197078895,-0.6987,-0.1431,0.2344,-200.91,-240.61,-39.51
21,1197083900,-0.6904,-0.1572,0.2563,-198.17,-236.65,-40.98
22,1197088895,-0.6987,-0.1597,0.2964,-194.88,-232.20,-42.50
23,1197093895,-0.7026,-0.1509,0.3110,-191.16,-227.56,-44.21
24,1197098896,-0.7100,-0.1416,0.3350,-186.71,-222.56,-45.79
25,1197103895,-0.7173,-0.1304,0.3369,-180.91,-217.38,-47.32
26,1197108895,-0.7188,-0.1079,0.3101,-174.15,-212.13,-49.15
27,1197113899,-0.7383,-0.0874,0.2480,-166.40,-207.38,-50.98
28,1197118897,-0.7617,-0.0859,0.2124,-157.68,-203.48,-52.93
29,1197123895,-0.7773,-0.0918,0.2065,-147.93,-199.45,-54.63
30,1197128895,-0.7856,-0.1060,0.2148,-136.22,-195.67,-56.16
31,1197133895,-0.7778,-0.1040,0.1821,-122.93,-191.46,-57.32
32,1197138895,-0.7969,-0.0942,0.2134,-107.80,-187.44,-58.23
33,1197143895,-0.7749,-0.0713,0.1670,-91.10,-183.29,-58.84
34,1197148895,-0.7427,-0.0488,0.1240,-72.80,-179.39,-59.21
35,1197153895,-0.6841,-0.0356,0.1108,-53.54,-176.04,-59.39
36,1197158895,-0.6445,-0.0776,0.1094,-33.48,-172.80,-59.02
37,1197163895,-0.6016,-0.0854,0.0566,-12.80,-169.94,-57.80
38,1197168895,-0.5664,-0.0791,0.0366,8.17,-167.50,-55.91
39,1197173895,-0.5420,-0.0811,0.0190,29.39,-165.12,-53.72
40,1197178895,-0.5254,-0.0850,-0.0015,50.73,-163.05,-50.98
41,1197183895,-0.5166,-0.0815,-0.0249,72.38,-160.91,-47.68
