# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,761648731,0.6665,-0.7788,0.0361,-94.27,-15.61,31.28
1,761653732,0.6348,-0.8926,-0.2524,-110.06,-18.11,31.83
2,761658732,0.5610,-0.9932,-0.3472,-129.51,-20.61,31.34
3,761663731,0.4741,-1.0635,-0.3047,-154.94,-22.38,29.27
4,761668733,0.4443,-1.1211,-0.3198,-171.77,-22.80,27.20
5,761673730,0.4375,-1.1826,-0.4233,-191.10,-23.84,23.54
6,761678731,0.4429,-1.2578,-0.3833,-208.35,-24.33,19.33
7,761683731,0.4512,-1.3384,-0.3755,-223.23,-24.02,14.63
8,761688732,0.4585,-1.3994,-0.4780,-234.82,-23.78,9.51
9,761693985,0.4678,-1.4561,-0.5142,-245.06,-23.29,2.74
10,761698730,0.4902,-1.4883,-0.4858,-249.76,-22.68,-1.89
11,761703730,0.5039,-1.5327,-0.5464,-254.21,-21.52,-7.87
12,761708731,0.5137,-1.5586,-0.5933,-257.80,-20.49,-13.90
13,761713778,0.4844,-1.5830,-0.5933,-261.59,-18.84,-20.43
14,761718730,0.4565,-1.5942,-0.5957,-266.10,-17.01,-26.83
15,761723730,0.4448,-1.5967,-0.6245,-272.01,-14.70,-33.35
16,761728730,0.4209,-1.5923,-0.6260,-278.96,-12.13,-39.76
17,761733731,0.4238,-1.5889,-0.6182,-286.59,-9.09,-45.61
18,761738730,0.4170,-1.5376,-0.6128,-294.27,-5.55,-51.04
19,761743730,0.4775,-1.5112,-0.6030,-301.83,-1.71,-56.22
20,761748880,0.4746,-1.4478,-0.5942,-309.51,3.48,-61.34
21,761753731,0.5020,-1.3330,-0.6348,-312.93,6.77,-64.21
22,761758762,0.5024,-1.3164,-0.6348,-315.73,10.37,-67.20
23,761763735,0.5156,-1.2217,-0.5991,-317.44,15.00,-69.39
24,761768731,0.5088,-1.1724,-0.5894,-317.68,18.05,-70.24
25,761773748,0.4395,-1.0938,-0.5513,-316.71,22.87,-70.30
26,761778730,0.4277,-0.9722,-0.5259,-314.21,26.71,-69.09
27,761783732,0.4824,-0.8384,-0.5059,-310.73,30.12,-67.74
28,761788732,0.4536,-0.7842,-0.5073,-306.89,32.62,-65.55
29,761793732,0.3057,-0.7778,-0.4204,-302.38,34.76,-61.89
30,761798731,0.1816,-0.6597,-0.3228,-295.55,37.38,-56.22
31,761803730,0.2959,-0.4976,-0.4004,-287.44,39.45,-50.79
32,761808730,0.3882,-0.4272,-0.5068,-278.48,39.51,-45.98
33,761813732,0.2056,-0.5249,-0.4102,-268.96,38.84,-40.98
34,761818732,0.1274,-0.4395,-0.2500,-258.05,39.15,-33.72
35,761823730,0.1934,-0.3086,-0.1270,-247.56,41.34,-27.20
36,761828733,0.2739,-0.2324,-0.1743,-237.99,44.21,-21.16
37,761833730,0.3130,-0.1948,-0.2065,-229.15,46.16,-15.37
38,761838731,0.2515,-0.2153,-0.1948,-221.16,47.50,-8.78
39,761843732,0.0332,-0.7314,-0.1885,-215.98,48.48,1.46
40,761848730,-0.1084,-0.5347,-0.0898,-213.90,50.00,14.88
41,761853730,-0.1426,-0.1079,0.0024,-213.35,52.38,25.67
42,761858730,0.1514,0.4546,-0.0054,-211.04,54.82,30.43
43,761863739,0.2544,0.4023,0.0430,-205.91,57.01,32.07
44,761868730,0.1934,-0.0386,0.0195,-200.30,59.02,37.62
45,761873788,0.1260,-0.3193,0.0190,-195.61,59.21,49.09
46,761878732,0.1489,-0.3149,0.0254,-190.18,57.93,62.38
47,761883956,0.2397,-0.3247,-0.0225,-183.35,55.24,76.22
48,761888788,0.3311,-0.2891,0.0479,-174.82,52.01,90.55
49,761893730,0.4111,-0.0562,0.1265,-163.78,48.60,104.02
50,761898732,0.4233,0.0620,0.1377,-150.73,45.18,114.63
51,761903730,0.4189,0.0337,0.0513,-137.44,40.61,124.09
52,761908730,0.4409,-0.0181,-0.0396,-125.30,34.70,133.54
53,761913730,0.4722,-0.0400,-0.0493,-115.30,27.68,142.74
54,761918730,0.4902,-0.0474,-0.0435,-108.17,20.79,151.59
55,761923730,0.5283,-0.0894,-0.0405,-104.21,14.27,159.94
56,761928730,0.5508,-0.1260,-0.0566,-103.35,8.35,167.80
57,761933730,0.5308,-0.1816,-0.1128,-106.34,2.68,175.18
58,761938730,0.4980,-0.2227,-0.0972,-113.05,-2.80,181.95
59,761943730,0.4058,-0.2222,-0.0757,-123.54,-6.65,187.74
60,761948730,0.2207,-0.2627,-0.0356,-138.05,-8.84,191.89
61,761953730,-0.0146,-0.3154,-0.0430,-156.65,-9.09,194.88
62,761958730,-0.2485,-0.4121,-0.1343,-180.06,-8.66,196.46
63,761963730,-0.3232,-0.5459,-0.2192,-207.56,-7.99,197.32
64,761968730,-0.2856,-0.6343,-0.3057,-237.20,-7.99,197.32
65,761973730,-0.1821,-0.6826,-0.3994,-266.52,-8.23,195.98
66,761978730,-0.0957,-0.7314,-0.4600,-293.11,-8.78,192.62
67,761983730,-0.0537,-0.8018,-0.5674,-315.61,-9.57,187.93
68,761988730,-0.0366,-0.8823,-0.6792,-333.35,-10.30,182.01
69,761993730,-0.0479,-0.9927,-0.7231,-346.22,-10.55,175.55
70,761998730,-0.0703,-1.0981,-0.7939,-354.39,-10.49,168.72
71,762003732,-0.0791,-1.1787,-0.8672,-358.17,-9.63,161.65
72,762008730,-0.0820,-1.2471,-0.9126,-357.44,-8.05,154.45
73,762013730,-0.0576,-1.2842,-0.9536,-352.74,-5.79,147.26
74,762018731,-0.0142,-1.3193,-1.0146,-344.39,-2.93,140.06
75,762023731,0.0405,-1.3359,-1.0483,-332.93,0.37,133.11
76,762028732,0.0928,-1.3345,-1.0596,-318.90,3.90,126.83
77,762033730,0.1616,-1.3242,-1.0786,-303.17,7.74,121.10
78,762038730,0.2256,-1.3042,-1.0972,-285.85,11.46,116.04
79,762043730,0.2896,-1.2759,-1.0977,-268.48,15.37,111.89
80,762048730,0.3530,-1.2534,-1.1089,-251.89,19.15,108.48
81,762053730,0.4478,-1.2251,-1.1221,-237.13,22.80,105.55
82,762058730,0.5293,-1.1899,-1.1201,-224.51,26.34,103.11
83,762063730,0.5757,-1.1577,-1.1245,-214.02,30.18,101.28
84,762068730,0.6108,-1.1206,-1.1465,-205.73,33.90,99.76
85,762073730,0.6699,-1.0742,-1.1592,-199.82,37.68,98.78
86,762078730,0.7188,-1.0454,-1.1626,-195.85,41.28,98.11
87,762083730,0.7769,-1.0034,-1.1621,-193.54,44.70,97.68
88,762088730,0.8413,-0.9580,-1.1670,-192.56,47.62,97.62
89,762093730,0.8633,-0.9150,-1.1396,-192.50,50.79,97.62
90,762098732,0.8779,-0.8735,-1.1250,-192.44,53.66,97.80
91,762103730,0.9087,-0.8271,-1.1211,-192.62,56.40,98.17
92,762108730,0.9243,-0.7739,-1.1006,-192.87,58.66,98.48
93,762113730,0.9409,-0.7329,-1.0815,-192.56,60.49,98.60
94,762118730,0.9453,-0.7051,-1.0771,-192.50,62.38,98.90
95,762123730,0.9434,-0.6821,-1.0581,-192.99,63.78,99.09
96,762128730,0.9443,-0.6519,-1.0298,-193.41,65.43,99.33
97,762133730,0.9297,-0.6152,-1.0137,-193.72,66.65,99.57
98,762138732,0.9287,-0.5938,-1.0083,-193.66,67.93,99.88
99,762143730,0.9351,-0.5747,-0.9937,-192.99,68.90,100.18
100,762148807,0.9395,-0.5591,-0.9800,-192.01,69.88,100.43
101,762153735,0.9365,-0.5415,-0.9736,-190.98,70.91,100.79
102,762158730,0.9209,-0.5195,-0.9551,-190.00,71.77,101.04
103,762163730,0.8940,-0.5083,-0.9268,-189.09,72.80,101.28
104,762168817,0.8755,-0.4946,-0.9082,-188.11,74.09,101.40
105,762173730,0.8618,-0.4712,-0.8887,-187.20,75.30,101.65
106,762178730,0.8564,-0.4595,-0.8647,-186.28,76.52,101.95
107,762183732,0.8545,-0.4424,-0.8345,-185.18,77.56,102.07
108,762188730,0.8501,-0.4326,-0.8193,-184.45,78.60,102.50
109,762193733,0.8511,-0.4268,-0.7925,-184.09,79.51,102.68
110,762198732,0.8696,-0.4272,-0.7646,-184.15,80.18,102.99
111,762203730,0.8789,-0.4170,-0.7300,-184.70,80.91,103.23
112,762208732,0.8618,-0.4170,-0.7007,-185.49,81.59,103.29
113,762213731,0.8481,-0.4180,-0.6792,-186.10,82.32,103.48
114,762218732,0.8462,-0.4102,-0.6543,-186.34,83.05,103.41
115,762223732,0.8481,-0.4131,-0.6274,-186.40,83.05,103.48
116,762228731,0.8638,-0.4116,-0.6157,-185.85,82.74,103.54
117,762233732,0.8521,-0.4136,-0.6001,-185.06,82.56,103.35
118,762238732,0.8354,-0.4141,-0.5732,-184.15,82.74,103.17
119,762243730,0.8188,-0.4150,-0.5537,-182.99,82.68,102.93
120,762248732,0.8071,-0.4194,-0.5278,-181.77,82.38,102.50
121,762253735,0.8169,-0.4229,-0.5083,-180.00,82.80,102.26
122,762258827,0.8223,-0.4219,-0.4932,-177.62,82.32,101.95
123,762263730,0.8228,-0.4189,-0.4775,-175.67,82.44,101.71
124,762268730,0.8042,-0.4224,-0.4614,-172.80,82.38,101.28
125,762273730,0.7969,-0.4180,-0.4399,-169.57,82.20,100.73
126,762278731,0.7930,-0.4048,-0.4326,-165.30,82.13,99.88
127,762283733,0.7837,-0.4058,-0.4253,-162.44,82.13,99.39
128,762288731,0.7744,-0.4058,-0.4038,-158.54,82.50,98.78
129,762293730,0.7783,-0.4053,-0.3999,-154.76,82.01,98.41
130,762298733,0.7891,-0.4038,-0.3892,-150.98,82.32,97.99
131,762303738,0.7944,-0.3945,-0.3716,-146.89,82.26,97.56
132,762308731,0.7969,-0.3833,-0.3633,-143.72,82.01,97.20
133,762313730,0.7783,-0.3760,-0.3486,-140.67,82.50,96.52
134,762318732,0.7593,-0.3779,-0.3506,-138.35,82.62,96.04
135,762323732,0.7314,-0.3853,-0.3545,-135.18,82.68,95.43
136,762328730,0.7222,-0.3833,-0.3599,-132.99,82.93,94.70
137,762333731,0.7256,-0.3784,-0.3472,-131.04,82.38,93.78
138,762338730,0.7363,-0.3789,-0.3350,-130.06,82.32,92.74
139,762343730,0.7412,-0.3833,-0.3135,-129.57,82.74,91.46
140,762348730,0.7363,-0.3975,-0.3071,-129.88,82.87,89.45
141,762353730,0.7197,-0.4087,-0.2930,-131.16,82.44,87.68
142,762358733,0.7129,-0.4155,-0.2754,-133.29,82.93,86.59
143,762364116,0.7104,-0.4194,-0.2568,-135.00,82.44,86.04
144,762368734,0.7231,-0.4185,-0.2397,-136.40,82.44,83.90
145,762373734,0.7124,-0.4150,-0.2388,-137.26,82.50,82.01
146,762378737,0.7178,-0.4111,-0.2197,-137.93,82.01,80.37
147,762383730,0.7563,-0.2764,-0.0776,-139.33,82.26,78.29
148,762388732,0.7715,-0.3857,-0.2578,-144.21,81.83,76.16
149,762393732,0.7241,-0.4336,-0.1694,-151.10,80.43,74.88
150,762398731,0.6763,-0.4385,-0.1196,-159.63,79.33,73.96
151,762403730,0.6890,-0.4365,-0.2100,-168.48,77.50,72.87
