# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
# dropped=0
0,990618730,0.4487,-0.9077,0.3115,7.07,12.87,8.35
1,990623734,0.4468,-0.9097,0.3110,7.07,12.68,8.54
2,990628733,0.4434,-0.9077,0.3101,6.89,12.32,8.78
3,990634013,0.4492,-0.9038,0.3101,7.07,11.83,8.90
4,990638732,0.4370,-0.9023,0.2988,7.26,11.22,9.09
5,990643732,0.4365,-0.8994,0.2988,7.44,10.98,9.15
6,990648732,0.4263,-0.8936,0.2939,7.56,10.49,9.27
7,990653731,0.4253,-0.8931,0.2881,7.68,10.06,9.27
8,990658732,0.4150,-0.8911,0.2876,7.87,9.51,9.15
9,990663731,0.4209,-0.8926,0.2847,8.11,9.15,9.02
10,990668732,0.4282,-0.8931,0.2842,8.54,8.72,9.15
11,990673732,0.4243,-0.9072,0.2837,8.96,8.17,9.02
12,990678733,0.4287,-0.9199,0.2886,9.21,7.68,9.02
13,990683732,0.4360,-0.9302,0.2876,9.51,7.44,8.96
14,990688732,0.4370,-0.9429,0.2900,9.57,7.01,8.96
15,990693731,0.4390,-0.9575,0.2915,9.45,6.71,8.78
16,990698730,0.4404,-0.9727,0.2944,9.51,6.46,8.90
17,990703732,0.4399,-0.9771,0.2969,9.39,6.28,8.72
18,990708736,0.4360,-0.9697,0.2871,9.15,6.10,8.41
19,990713730,0.4307,-0.9692,0.2832,9.15,5.98,8.05
20,990718733,0.4375,-0.9736,0.2900,9.02,5.73,7.44
21,990723730,0.4351,-0.9756,0.2920,9.21,5.67,7.07
22,990728731,0.4355,-0.9800,0.2847,9.27,5.30,6.77
23,990733733,0.4385,-0.9834,0.2856,8.78,5.24,6.34
24,990738730,0.4463,-0.9854,0.2876,7.74,5.73,5.85
25,990743732,0.4531,-0.9863,0.2842,6.89,5.85,5.43
26,990748732,0.4609,-0.9907,0.2773,6.59,6.04,5.00
27,990753730,0.4673,-0.9980,0.2793,5.79,6.52,4.51
28,990758733,0.4702,-1.0156,0.2422,4.45,7.01,4.27
29,990763733,0.4727,-1.0254,0.2344,3.23,7.32,3.78
30,990768730,0.4746,-1.0439,0.2285,2.32,7.87,3.05
31,990773730,0.4731,-1.0586,0.2158,1.22,8.29,2.38
32,990778733,0.4673,-1.0742,0.2051,0.61,8.66,1.16
33,990783732,0.4556,-1.0913,0.2046,0.18,8.84,-0.18
34,990788732,0.4492,-1.1021,0.2134,0.18,9.27,-1.59
35,990793731,0.4502,-1.1133,0.2124,0.49,9.39,-3.66
36,990798732,0.4458,-1.1348,0.2065,1.16,9.51,-5.18
37,990803730,0.4355,-1.1367,0.2178,2.56,9.51,-7.32
38,990808732,0.4282,-1.1387,0.2236,4.15,9.57,-9.33
39,990813732,0.4331,-1.1504,0.2256,6.10,9.45,-11.34
40,990818731,0.4502,-1.1572,0.2290,8.17,9.45,-13.48
41,990823732,0.4526,-1.1641,0.2354,10.06,9.15,-15.55
42,990828818,0.4590,-1.1802,0.2344,11.95,8.96,-17.68
43,990833732,0.4580,-1.1934,0.2388,13.29,8.66,-20.00
44,990838733,0.4580,-1.2041,0.2500,14.09,8.35,-22.32
45,990843730,0.4570,-1.2212,0.2505,14.51,8.05,-25.00
46,990848734,0.4551,-1.2300,0.2529,13.78,7.56,-27.80
47,990853730,0.4497,-1.2339,0.2563,12.80,7.32,-30.79
48,990858731,0.4473,-1.2354,0.2651,11.16,6.95,-33.60
49,990863732,0.4492,-1.2388,0.2700,9.39,6.65,-36.52
50,990868733,0.4600,-1.2397,0.2759,7.62,5.85,-39.57
51,990873730,0.4727,-1.2344,0.2783,6.22,5.43,-42.38
52,990878731,0.4756,-1.2275,0.2754,5.06,4.82,-45.06
53,990883734,0.4805,-1.2271,0.2793,4.39,4.02,-47.74
54,990888730,0.4849,-1.2212,0.2866,3.72,3.23,-50.12
55,990893730,0.4897,-1.2144,0.2920,3.17,2.56,-52.38
56,990898733,0.4907,-1.2041,0.2998,2.62,1.65,-54.82
57,990903730,0.4932,-1.1963,0.2988,2.20,0.85,-57.07
58,990908732,0.4878,-1.2061,0.2881,1.59,0.24,-59.21
59,990913732,0.4888,-1.1953,0.2856,0.98,-0.61,-61.40
60,990918731,0.4873,-1.1865,0.2837,-0.12,-1.40,-63.60
61,990923732,0.4883,-1.1768,0.2812,-1.52,-2.26,-65.91
62,990928732,0.4956,-1.1680,0.2837,-3.48,-3.11,-68.23
63,990933900,0.5000,-1.1626,0.2793,-5.98,-3.66,-70.37
64,990938731,0.5059,-1.1577,0.2837,-9.09,-4.39,-72.56
65,990943733,0.5068,-1.1421,0.2905,-12.93,-4.88,-74.57
66,990948730,0.5078,-1.1284,0.2964,-17.07,-5.61,-76.52
67,990953822,0.5093,-1.1143,0.2930,-21.52,-6.04,-78.29
68,990958731,0.5010,-1.0972,0.3008,-25.49,-6.52,-79.94
69,990963820,0.5024,-1.0723,0.2969,-29.09,-7.07,-81.52
70,990968731,0.5073,-1.0542,0.2954,-32.20,-7.68,-82.99
71,990973731,0.5034,-1.0376,0.2920,-34.57,-8.29,-84.33
72,990978730,0.4868,-1.0220,0.2920,-36.46,-9.15,-85.73
73,990983732,0.4741,-1.0034,0.2979,-37.80,-9.70,-86.83
74,990988732,0.4702,-0.9814,0.2891,-38.66,-10.30,-88.05
75,990993731,0.4756,-0.9648,0.2861,-38.90,-10.61,-88.90
76,990998733,0.4912,-0.9487,0.2734,-38.60,-11.10,-89.57
77,991003732,0.4907,-0.9277,0.2778,-38.23,-11.59,-90.24
78,991008730,0.4854,-0.9185,0.2769,-37.50,-11.83,-90.67
79,991013731,0.4902,-0.9058,0.2705,-36.89,-12.07,-90.79
80,991018730,0.4995,-0.8896,0.2715,-36.46,-12.20,-90.73
81,991023734,0.5122,-0.8818,0.2700,-36.22,-12.26,-90.61
82,991028730,0.5190,-0.8672,0.2725,-36.22,-12.38,-90.24
83,991033730,0.5166,-0.8711,0.2881,-36.40,-12.32,-89.70
84,991038730,0.5181,-0.8535,0.2827,-36.34,-12.13,-89.33
85,991043730,0.5127,-0.8301,0.2798,-35.37,-12.07,-88.78
86,991048921,0.5112,-0.8257,0.2832,-33.78,-12.07,-88.29
87,991053734,0.5015,-0.8071,0.2729,-31.16,-12.01,-87.74
88,991058730,0.4941,-0.7891,0.2666,-27.87,-12.01,-87.20
89,991063731,0.4883,-0.7627,0.2603,-24.15,-12.13,-86.77
90,991068730,0.4902,-0.7461,0.2656,-20.43,-12.38,-86.34
91,991073732,0.4785,-0.7280,0.2520,-17.13,-12.68,-85.73
92,991078732,0.4771,-0.7212,0.2583,-14.51,-12.80,-85.12
