# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,1141233730,-0.1831,1.0879,0.3843,-3.54,9.82,-34.45
1,1141238731,-0.2046,1.1187,0.3921,-1.34,9.88,-35.43
2,1141244139,-0.2373,1.1431,0.3965,0.91,10.06,-36.22
3,1141248731,-0.2559,1.1567,0.3950,2.32,9.94,-36.46
4,1141253730,-0.2568,1.1772,0.4004,4.21,10.00,-36.52
5,1141258744,-0.2549,1.1978,0.4019,6.16,10.00,-36.34
6,1141263798,-0.2593,1.2114,0.4106,8.11,10.24,-35.85
7,1141268733,-0.2598,1.2271,0.4165,9.70,10.61,-35.00
8,1141273822,-0.2559,1.2485,0.4165,11.16,10.98,-33.96
9,1141278731,-0.2671,1.2598,0.4111,11.95,11.71,-32.44
10,1141283734,-0.2666,1.2793,0.4146,12.44,12.26,-30.98
11,1141288730,-0.2734,1.2876,0.4219,12.32,13.05,-29.21
12,1141293734,-0.2749,1.2964,0.4258,11.77,13.72,-26.89
13,1141299212,-0.2871,1.3037,0.4287,11.10,14.82,-23.90
14,1141303733,-0.2969,1.3076,0.4370,10.55,15.61,-21.65
15,1141308885,-0.3130,1.3096,0.4429,9.45,16.77,-18.05
16,1141313733,-0.3228,1.3076,0.4473,8.84,17.68,-15.43
17,1141318730,-0.3281,1.2998,0.4395,7.74,18.96,-12.13
18,1141323731,-0.3320,1.2930,0.4424,6.46,20.06,-8.41
19,1141328733,-0.3408,1.2856,0.4395,5.00,21.16,-4.76
20,1141333988,-0.3408,1.2754,0.4380,2.87,22.50,0.06
21,1141338733,-0.3384,1.2671,0.4360,1.28,23.17,3.05
22,1141343979,-0.3325,1.2607,0.4370,-1.28,24.39,7.74
23,1141348774,-0.3262,1.2549,0.4331,-3.60,25.30,11.77
24,1141353730,-0.3306,1.2461,0.4243,-5.49,26.10,15.00
25,1141358730,-0.3252,1.2412,0.4229,-7.87,26.95,19.02
26,1141363730,-0.3291,1.2358,0.4258,-10.00,27.56,23.05
27,1141368731,-0.3247,1.2197,0.4175,-12.62,28.29,27.74
28,1141373733,-0.3086,1.2139,0.4180,-14.70,28.90,31.59
29,1141378730,-0.2944,1.1987,0.4204,-16.89,29.39,35.24
30,1141383731,-0.2847,1.1880,0.4111,-19.09,29.88,38.66
31,1141388733,-0.2744,1.1772,0.4028,-21.22,30.30,41.89
32,1141393733,-0.2578,1.1626,0.4004,-23.11,30.73,44.94
33,1141398730,-0.2583,1.1567,0.3940,-25.24,30.85,47.56
34,1141403734,-0.2490,1.1445,0.3862,-26.83,31.10,50.24
35,1141408730,-0.2446,1.1250,0.3867,-28.23,31.34,52.44
36,1141413734,-0.2466,1.1094,0.3750,-29.15,31.65,54.51
37,1141418730,-0.2393,1.0923,0.3706,-29.39,31.52,56.46
38,1141423730,-0.2412,1.0737,0.3667,-29.33,31.65,58.05
39,1141428730,-0.2456,1.0684,0.3613,-28.90,31.77,59.51
40,1141433730,-0.2485,1.0562,0.3628,-27.93,31.65,60.73
41,1141438730,-0.2510,1.0474,0.3564,-26.59,31.65,61.77
42,1141443730,-0.2612,1.0376,0.3574,-25.12,31.52,62.50
43,1141448730,-0.2651,1.0352,0.3491,-23.41,31.34,63.17
44,1141453730,-0.2773,1.0366,0.3535,-21.59,31.10,63.54
45,1141458731,-0.2783,1.0342,0.3589,-19.76,31.16,63.72
46,1141463733,-0.2754,1.0308,0.3555,-17.74,31.16,63.60
47,1141468730,-0.2798,1.0337,0.3594,-15.61,31.04,63.29
