# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,428233294,0.0239,-0.1489,-0.8813,2.07,-0.91,2.01
1,428238625,0.0273,-0.1479,-0.8799,1.89,-1.04,1.95
2,428243296,0.0308,-0.1475,-0.8823,1.95,-0.79,1.95
3,428248583,0.0293,-0.1489,-0.8760,1.83,-0.91,1.83
4,428253296,0.0225,-0.1519,-0.8765,1.83,-0.98,1.77
5,428258295,0.0186,-0.1494,-0.8779,1.77,-0.98,1.71
6,428263296,0.0288,-0.1499,-0.8779,1.71,-0.79,1.65
7,428268296,0.0161,-0.1484,-0.8774,1.77,-0.98,1.59
8,428273297,0.0371,-0.1460,-0.8872,1.83,-1.04,1.52
9,428278296,0.0293,-0.1455,-0.8721,1.89,-1.10,1.52
10,428283741,0.0244,-0.1484,-0.8813,2.01,-1.16,1.40
11,428288296,0.0225,-0.1538,-0.8804,2.07,-1.22,1.52
12,428293301,0.0200,-0.1582,-0.8779,2.20,-1.28,1.46
13,428298296,0.0254,-0.1504,-0.8726,2.32,-1.40,1.40
14,428303507,0.0205,-0.1582,-0.8740,2.32,-1.34,1.52
15,428308517,0.0376,-0.1543,-0.8838,2.32,-1.40,1.65
16,428313298,0.0298,-0.1572,-0.8770,2.44,-1.40,1.59
17,428318401,0.0186,-0.1611,-0.8789,2.44,-1.46,1.71
18,428323296,0.0264,-0.1616,-0.8760,2.44,-1.46,1.71
19,428328296,0.0269,-0.1577,-0.8740,2.50,-1.46,1.83
20,428333296,0.0200,-0.1626,-0.8818,2.44,-1.34,1.89
21,428338296,0.0322,-0.1562,-0.8765,2.50,-1.59,2.07
22,428343296,0.0308,-0.1611,-0.8794,2.50,-1.52,2.07
23,428348295,0.0186,-0.1626,-0.8740,2.44,-1.52,2.13
24,428353296,0.0225,-0.1606,-0.8784,2.50,-1.40,2.20
25,428358296,0.0273,-0.1509,-0.8755,2.38,-1.40,2.38
26,428363295,0.0156,-0.1592,-0.8755,2.38,-1.46,2.44
27,428368296,0.0249,-0.1519,-0.8750,2.26,-1.46,2.44
28,428373582,0.0278,-0.1514,-0.8804,2.32,-1.22,2.44
29,428378296,0.0181,-0.1528,-0.8691,2.32,-1.46,2.32
30,428383295,0.0181,-0.1558,-0.8750,2.20,-1.34,2.38
31,428388294,0.0298,-0.1479,-0.8721,2.26,-1.28,2.32
32,428393294,0.0127,-0.1470,-0.8730,2.26,-1.28,2.20
33,428398294,0.0107,-0.1528,-0.8726,2.20,-1.28,2.26
34,428403294,0.0288,-0.1416,-0.8687,2.20,-1.16,2.13
35,428408294,0.0122,-0.1470,-0.8711,2.20,-1.34,2.07
36,428413491,0.0176,-0.1470,-0.8740,2.20,-1.16,2.01
37,428418296,0.0278,-0.1494,-0.8735,2.20,-1.10,1.95
38,428423296,0.0278,-0.1504,-0.8804,2.26,-1.22,1.83
39,428428296,0.0181,-0.1528,-0.8804,2.32,-1.22,2.01
40,428433295,0.0195,-0.1538,-0.8804,2.38,-1.28,1.95
41,428438300,0.0308,-0.1494,-0.8745,2.26,-1.28,1.89
42,428443296,0.0312,-0.1479,-0.8765,2.26,-1.28,1.89
43,428448295,0.0210,-0.1533,-0.8711,2.26,-1.34,1.89
44,428453296,0.0283,-0.1548,-0.8784,2.32,-1.22,1.89
